Season Start,Season End,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,Salary,Salary w/ Inflation
2010,2011,Chicago Bulls,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,"$103,054,004 ","$109,521,112 "
2011,2012,Chicago Bulls,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,14.0,6.9,5.9,5.2,"$117,382,664 ","$122,743,957 "
2012,2013,Chicago Bulls,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23.0,14.3,7.2,5.1,5.8,"$68,126,774 ","$79,748,621 "
2013,2014,Chicago Bulls,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6.0,"$69,700,359 ","$82,771,612 "
2014,2015,Chicago Bulls,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,14.0,6.3,5.8,5.4,"$54,538,076 ","$64,090,771 "
2015,2016,Chicago Bulls,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21.0,78.7,11.1,35.2,46.3,22.8,13.9,6.0,5.7,5.7,"$69,548,447 ","$78,921,621 "
2016,2017,Chicago Bulls,102.9,38.6,87.1,44.4,7.6,22.3,34.0,18.0,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,"$74,491,280 ","$83,147,049 "
2017,2018,Chicago Bulls,102.9,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9,9.6,35.0,44.7,23.5,14.0,7.6,3.5,5.2,"$73,336,893 ","$80,447,143 "
2008,2009,Cleveland Cavaliers,100.3,36.9,78.7,46.8,8.0,20.4,39.3,18.6,24.5,75.7,10.8,31.4,42.2,20.3,12.7,7.2,5.3,4.1,"$67,414,682 ","$72,449,358 "
2009,2010,Cleveland Cavaliers,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72.0,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4.0,"$87,073,838 ","$93,461,027 "
