Season,Team,W,L,W/L%,Playoffs
2016-17,Utah Jazz,51,31,0.622,Lost W. Conf. Semis
2015-16,Utah Jazz,40,42,0.488,
2014-15,Utah Jazz,38,44,0.463,
2013-14,Utah Jazz,25,57,0.305,
2012-13,Utah Jazz,43,39,0.524,
2011-12,Utah Jazz,36,30,0.545,Lost W. Conf. 1st Rnd.
2010-11,Utah Jazz,39,43,0.476,
2009-10,Utah Jazz,53,29,0.646,Lost W. Conf. Semis
2008-09,Utah Jazz,48,34,0.585,Lost W. Conf. 1st Rnd.
2017-18,Cleveland Cavaliers,24,11,0.686,
2016-17,Cleveland Cavaliers,51,31,0.622,Lost Finals
2015-16,Cleveland Cavaliers,57,25,0.695,Won Finals
2014-15,Cleveland Cavaliers,53,29,0.646,Lost Finals
2013-14,Cleveland Cavaliers,33,49,0.402,
2012-13,Cleveland Cavaliers,24,58,0.293,
2011-12,Cleveland Cavaliers,21,45,0.318,
2010-11,Cleveland Cavaliers,19,63,0.232,
2009-10,Cleveland Cavaliers,61,21,0.744,Lost E. Conf. Semis
2008-09,Cleveland Cavaliers,66,16,0.805,Lost E. Conf. Finals
2017-18,Detroit Pistons,19,15,0.559,
2016-17,Detroit Pistons,37,45,0.451,
2015-16,Detroit Pistons,44,38,0.537,Lost E. Conf. 1st Rnd.
2014-15,Detroit Pistons,32,50,0.39,
2013-14,Detroit Pistons,29,53,0.354,
2012-13,Detroit Pistons,29,53,0.354,
2011-12,Detroit Pistons,25,41,0.379,
2010-11,Detroit Pistons,30,52,0.366,
2009-10,Detroit Pistons,27,55,0.329,
2008-09,Detroit Pistons,39,43,0.476,Lost E. Conf. 1st Rnd.
2017-18,Milwaukee Bucks,19,15,0.559,
2016-17,Milwaukee Bucks,42,40,0.512,Lost E. Conf. 1st Rnd.
2015-16,Milwaukee Bucks,33,49,0.402,
2014-15,Milwaukee Bucks,41,41,0.5,Lost E. Conf. 1st Rnd.
2013-14,Milwaukee Bucks,15,67,0.183,
2012-13,Milwaukee Bucks,38,44,0.463,Lost E. Conf. 1st Rnd.
2011-12,Milwaukee Bucks,31,35,0.47,
2010-11,Milwaukee Bucks,35,47,0.427,
2009-10,Milwaukee Bucks,46,36,0.561,Lost E. Conf. 1st Rnd.
2008-09,Milwaukee Bucks,34,48,0.415,
2017-18,Indiana Pacers,19,17,0.528,
2016-17,Indiana Pacers,42,40,0.512,Lost E. Conf. 1st Rnd.
2015-16,Indiana Pacers,45,37,0.549,Lost E. Conf. 1st Rnd.
2014-15,Indiana Pacers,38,44,0.463,
2013-14,Indiana Pacers,56,26,0.683,Lost E. Conf. Finals
2012-13,Indiana Pacers,49,32,0.605,Lost E. Conf. Finals
2011-12,Indiana Pacers,42,24,0.636,Lost E. Conf. Semis
2010-11,Indiana Pacers,37,45,0.451,Lost E. Conf. 1st Rnd.
2009-10,Indiana Pacers,32,50,0.39,
2008-09,Indiana Pacers,36,46,0.439,
2017-18,Chicago Bulls,13,22,0.371,
2016-17,Chicago Bulls,41,41,0.5,Lost E. Conf. 1st Rnd.
2015-16,Chicago Bulls,42,40,0.512,
2014-15,Chicago Bulls,50,32,0.61,Lost E. Conf. Semis
2013-14,Chicago Bulls,48,34,0.585,Lost E. Conf. 1st Rnd.
2012-13,Chicago Bulls,45,37,0.549,Lost E. Conf. Semis
2011-12,Chicago Bulls,50,16,0.758,Lost E. Conf. 1st Rnd.
2010-11,Chicago Bulls,62,20,0.756,Lost E. Conf. Finals
2009-10,Chicago Bulls,41,41,0.5,Lost E. Conf. 1st Rnd.
2008-09,Chicago Bulls,41,41,0.5,Lost E. Conf. 1st Rnd.
2017-18,Golden State Warriors,28,8,0.778,
2016-17,Golden State Warriors,67,15,0.817,Won Finals
2015-16,Golden State Warriors,73,9,0.89,Lost Finals
2014-15,Golden State Warriors,67,15,0.817,Won Finals
2013-14,Golden State Warriors,51,31,0.622,Lost W. Conf. 1st Rnd.
2012-13,Golden State Warriors,47,35,0.573,Lost W. Conf. Semis
2011-12,Golden State Warriors,23,43,0.348,
2010-11,Golden State Warriors,36,46,0.439,
2009-10,Golden State Warriors,26,56,0.317,
2008-09,Golden State Warriors,29,53,0.354,
2017-18,Los Angeles Clippers,15,19,0.441,
2016-17,Los Angeles Clippers,51,31,0.622,Lost W. Conf. 1st Rnd.
2015-16,Los Angeles Clippers,53,29,0.646,Lost W. Conf. 1st Rnd.
2014-15,Los Angeles Clippers,56,26,0.683,Lost W. Conf. Semis
